iter	Passed	Remaining
0	186	111523
1	195	58405
2	202	40249
3	204	30525
4	211	25150
5	216	21431
6	221	18741
7	225	16697
8	229	15081
9	233	13771
10	235	12585
11	238	11664
12	241	10883
13	244	10214
14	246	9632
15	250	9130
16	253	8680
17	255	8269
18	258	7897
19	260	7565
20	263	7260
21	265	6987
22	268	6735
23	270	6499
24	273	6279
25	275	6074
26	277	5879
27	279	5703
28	281	5538
29	283	5381
30	284	5231
31	287	5098
32	289	4970
33	291	4850
34	293	4732
35	295	4624
36	297	4522
37	298	4421
38	300	4324
39	302	4236
40	304	4152
41	306	4071
42	308	3995
43	310	3924
44	312	3855
45	314	3786
46	316	3719
47	317	3655
48	320	3600
49	322	3542
50	323	3486
51	326	3435
52	328	3388
53	330	3337
54	331	3288
55	333	3242
56	336	3202
57	338	3158
58	339	3114
59	341	3073
60	343	3036
61	345	2997
62	347	2958
63	348	2922
64	350	2888
65	352	2854
66	354	2823
67	356	2792
68	359	2764
69	361	2735
70	363	2706
71	365	2680
72	367	2654
73	369	2627
74	371	2600
75	373	2575
76	375	2550
77	377	2526
78	379	2501
79	381	2479
80	383	2455
81	385	2433
82	387	2411
83	389	2390
84	390	2368
85	392	2346
86	394	2325
87	396	2306
88	397	2281
89	399	2263
90	401	2246
91	403	2228
92	405	2212
93	407	2195
94	409	2178
95	411	2161
96	413	2146
97	415	2129
98	417	2113
99	419	2096
100	421	2081
101	422	2065
102	424	2048
103	426	2033
104	428	2017
105	429	2003
106	431	1988
107	433	1974
108	435	1960
109	436	1946
110	438	1932
111	440	1920
112	442	1907
113	444	1894
114	446	1883
115	448	1871
116	450	1858
117	452	1848
118	455	1839
119	457	1828
120	458	1816
121	461	1807
122	463	1796
123	465	1786
124	467	1775
125	469	1765
126	471	1754
127	472	1744
128	474	1733
129	477	1724
130	479	1715
131	481	1706
132	483	1698
133	485	1689
134	487	1680
135	489	1671
136	491	1662
137	494	1654
138	496	1645
139	498	1636
140	500	1628
141	502	1620
142	504	1611
143	506	1602
144	508	1594
145	510	1586
146	512	1578
147	514	1570
148	516	1562
149	518	1554
150	520	1547
151	522	1539
152	524	1531
153	526	1524
154	528	1517
155	530	1510
156	532	1503
157	535	1497
158	537	1490
159	539	1483
160	541	1477
161	544	1471
162	546	1464
163	548	1458
164	551	1452
165	553	1445
166	554	1437
167	556	1431
168	558	1424
169	560	1418
170	563	1414
171	565	1408
172	567	1401
173	570	1395
174	572	1389
175	574	1383
176	576	1376
177	578	1370
178	580	1364
179	582	1358
180	584	1352
181	586	1345
182	588	1340
183	590	1334
184	592	1328
185	593	1321
186	596	1316
187	598	1310
188	599	1304
189	601	1298
190	603	1292
191	605	1286
192	607	1280
193	609	1274
194	610	1268
195	612	1263
196	614	1257
197	616	1251
198	618	1246
199	620	1241
200	622	1236
201	624	1231
202	627	1226
203	628	1220
204	631	1215
205	633	1210
206	635	1206
207	637	1200
208	639	1195
209	641	1190
210	643	1186
211	645	1181
212	647	1176
213	649	1171
214	651	1166
215	653	1161
216	655	1156
217	657	1151
218	659	1147
219	661	1142
220	663	1138
221	665	1133
222	667	1128
223	669	1123
224	671	1118
225	672	1113
226	675	1109
227	677	1104
228	679	1100
229	681	1096
230	683	1092
231	685	1087
232	687	1083
233	689	1078
234	691	1074
235	693	1069
236	695	1065
237	697	1060
238	700	1057
239	702	1053
240	703	1048
241	706	1044
242	708	1040
243	710	1036
244	711	1031
245	713	1027
246	715	1023
247	718	1019
248	720	1015
249	722	1011
250	724	1007
251	726	1003
252	728	999
253	730	994
254	732	991
255	734	987
256	736	983
257	738	979
258	740	975
259	742	971
260	744	967
261	746	963
262	748	959
263	750	955
264	752	951
265	754	946
266	756	943
267	758	939
268	760	935
269	762	931
270	764	927
271	766	923
272	767	919
273	769	916
274	772	912
275	774	908
276	775	904
277	778	901
278	779	897
279	781	893
280	783	889
281	785	885
282	787	881
283	789	878
284	791	874
285	793	870
286	795	867
287	797	864
288	799	860
289	802	857
290	804	853
291	805	850
292	807	846
293	809	842
294	812	839
295	813	835
296	815	832
297	818	829
298	820	826
299	822	822
300	825	819
301	827	816
302	829	812
303	831	809
304	834	806
305	836	803
306	838	800
307	840	796
308	842	793
309	847	792
310	851	791
311	854	788
312	858	787
313	861	785
314	865	783
315	868	780
316	872	779
317	876	776
318	878	774
319	882	771
320	884	768
321	886	765
322	890	763
323	893	760
324	896	758
325	899	755
326	901	752
327	904	750
328	906	746
329	908	743
330	911	740
331	915	738
332	918	736
333	921	734
334	923	730
335	926	728
336	928	724
337	930	721
